word1,word2,sent1,sent2,human_sim
cord,smile,"Cord is strong, thick string.","A smile is the expression that you have on your face when you are pleased or amused, or when you are being friendly.",0.01
rooster,voyage,A rooster is an adult male chicken.,A voyage is a long journey on a ship or in a spacecraft.,0.005
noon,string,Noon is 12 o’clock in the middle of the day.,"String is thin rope made of twisted threads, used for tying things together or tying up parcels.",0.0125
fruit,furnace,Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.,"A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish, or produce steam.",0.0475
autograph,shore,An autograph is the signature of someone famous which is specially written for a fan to keep.,"The shores or shore of a sea, lake, or wide river is the land along the edge of it",0.005
automobile,wizard,An automobile is a car.,"In legends and fairy stories, a wizard is a man who has magic powers.",0.02
grin,implement,A grin is a broad smile.,An implement is a tool or other pieces of equipment.,0.005
asylum,fruit,An asylum is a psychiatric hospital.,Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.,0.005
asylum,monk,An asylum is a psychiatric hospital.,A monk is a member of a male religious community that is usually separated from the outside world.,0.0375
graveyard,madhouse,"A graveyard is an area of land, sometimes near a church, where dead people are buried.","If you describe a place or situation as a madhouse,you mean that it is full of confusion and noise.",0.0225
glass,magician,Glass is a hard transparent substance that is used to make things such as windows and bottles.,A magician is a person who entertains people by doing magic tricks.,0.0075
boy,rooster,A boy is a child who will grow up to be a man.,A rooster is an adult male chicken.,0.1075
cushion,jewel,"A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.","A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.",0.0525
monk,slave,A monk is a member of a male religious community that is usually separated from the outside world.,A slave is someone who is the property of another person and has to work for that person.,0.045
asylum,cemetery,An asylum is a psychiatric hospital.,A cemetery is a place where dead people’s bodies or their ashes are buried.,0.0375
coast,forest,The coast is an area of land that is next to the sea.,A forest is a large area where trees grow close together.,0.0475
grin,lad,A grin is a broad smile.,A lad is a young man or boy.,0.0125
shore,woodland,"The shores or shore of a sea, lake, or wide river is the land along the edge of it.",Woodland is land with a lot of trees.,0.0825
monk,oracle,A monk is a member of a male religious community that is usually separated from the outside world.,"In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.",0.1125
boy,sage,A boy is a child who will grow up to be a man.,A sage is a person who is regarded as being very wise.,0.0425
automobile,cushion,An automobile is a car.,"A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.",0.02
mound,shore,A mound of something is a large rounded pile of it.,"The shores or shore of a sea, lake, or wide river is the land along the edge of it.",0.035
lad,wizard,A lad is a young man or boy,"In legends and fairy stories, a wizard is a man who has magic powers.",0.0325
forest,graveyard,A forest is a large area where trees grow close together.,"A graveyard is an area of land, sometimes near a church, where dead people are buried.",0.065
food,rooster,Food is what people and animals eat.,A rooster is an adult male chicken.,0.055
cemetery,woodland,A cemetery is a place where dead people’s bodies or their ashes are buried.,Woodland is land with a lot of trees.,0.0375
shore,shore,"The shores or shore of a sea, lake, or wide river is the land along the edge of it.",A voyage is a long journey on a ship or in a spacecraft.,0.02
bird,woodland,"A bird is a creature with feathers and wings, females lay eggs, and most birds can fly.",Woodland is land with a lot of trees.,0.0125
coast,hill,The coast is an area of land that is next to the sea.,A hill is an area of land that is higher than the land that surrounds it.,0.1
furnace,implement,"A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish or produce steam.",An implement is a tool or other piece of equipment.,0.05
crane,rooster,A crane is a large machine that moves heavy things by lifting them in the air.,A rooster is an adult male chicken.,0.02
hill,woodland,A hill is an area of land that is higher than the land that surrounds it.,Woodland is land with a lot of trees.,0.145
car,journey,A car is a motor vehicle with room for a small number of passengers.,"When you make a journey, you travel from one place to another.",0.0725
cemetery,mound,A cemetery is a place where dead people’s bodies or their ashes are buried.,A mound of something is a large rounded pile of it.,0.0575
glass,jewel,Glass is a hard transparent substance that is used to make things such as windows and bottles.,"A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.",0.1075
magician,oracle,A magician is a person who entertains people by doing magic tricks.,"In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.",0.13
crane,implement,A crane is a large machine that moves heavy things by lifting them in the air.,An implement is a tool or other piece of equipment.,0.185
brother,lad,Your brother is a boy or a man who has the same parents as you.,A lad is a young man or boy.,0.1275
sage,wizard,A sage is a person who is regarded as being very wise.,"In legends and fairy stories, a wizard is a man who has magic powers.",0.1525
oracle,sage,"In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.",A sage is a person who is regarded as being very wise.,0.2825
bird,crane,"A bird is a creature with feathers and wings, females lay eggs, and most birds can fly.",A crane is a large machine that moves heavy things by lifting them in the air.,0.035
bird,cock,"A bird is a creature with feathers and wings, females lay eggs, and most birds can fly.",A cock is an adult male chicken.,0.1625
food,fruit,Food is what people and animals eat.,Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat,0.2425
brother,monk,Your brother is a boy or a man who has the same parents as you.,A monk is a member of a male religious community that is usually separated from the outside world.,0.045
asylum,madhouse,An asylum is a psychiatric hospital.,"If you describe a place or situation as a madhouse, you mean that it is full of confusion and noise.",0.215
furnace,stove,"A furnace is a container or enclosed space in which a very hot fire is made, for example, to melt metal, burn rubbish, or produce steam.","A stove is a piece of equipment which provides heat, either for cooking or for heating a room.",0.3475
magician,wizard,A magician is a person who entertains people by doing magic tricks,"In legends and fairy stories, a wizard is a man who has magic powers.",0.355
hill,mound,A hill is an area of land that is higher than the land that surrounds it.,A mound of something is a large rounded pile of it.,0.2925
cord,string,"Cord is strong, thick string.","String is thin rope made of twisted threads, used for tying things together or tying up parcels.",0.47
glass,tumbler,Glass is a hard transparent substance that is used to make things such as windows and bottles.,A tumbler is a drinking glass with straight sides.,0.1375
grin,smile,A grin is a broad smile.,"A smile is the expression that you have on your face when you are pleased or amused, or when you are being friendly.",0.485
