sentence1,sentence2,whole_sim,subject_sim,action_sim,obj_sim
"He has generally supported the existing outlook by the Fed for three rate hikes but if the stimulus from tax cuts boosts both growth and inflation, Powell could soon face a question of whether he needs to do more or do it faster.","""As we approach next week's FOMC day, we should see gold come under pressure as it struggles to compete against interest-bearing assets,"" said Daniel Ghali, commodities strategist at TD Securities.",0,0,0,0
"He has generally supported the existing outlook by the Fed for three rate hikes but if the stimulus from tax cuts boosts both growth and inflation, Powell could soon face a question of whether he needs to do more or do it faster.",Treasury yields shrank further on Wednesday after Federal Reserve Chairman Jerome Powell's upbeat view on the economy raised speculation the U.S. central bank may raise interest rates faster.,3,0,0,4
"He has generally supported the existing outlook by the Fed for three rate hikes but if the stimulus from tax cuts boosts both growth and inflation, Powell could soon face a question of whether he needs to do more or do it faster.","TD Securities: Bearish view on the US dollar 11 Hours Ago U.S. Treasury yields are being driven by global economic growth rather than the dollar, Richard Kelly, head of global strategy at TD Securities, said.",0,0,0,0
"He has generally supported the existing outlook by the Fed for three rate hikes but if the stimulus from tax cuts boosts both growth and inflation, Powell could soon face a question of whether he needs to do more or do it faster.","The U.S. economy should grow at a good clip this year, boosted by tax cuts, two Fed officials said on Wednesday, though they disagreed on how close the economy is to overheating and the need for rate hikes this year.",0,0,0,1
"""It shows how sensitive the markets are around the discussion on U.S. dollar and trade in general,"" said Mark McCormick, North America head of foreign exchange strategy at TD Securities.","""It seems like the market is positioned for some hawkishness at this meeting, said Gennadiy Goldberg, an interest rate strategist at TD Securities in New York. ""If he strikes a more even tone or tries to maintain a more even keel, there is a chance that the market could actually react dovishly to this meeting.""",3,4,5,4
"""It shows how sensitive the markets are around the discussion on U.S. dollar and trade in general,"" said Mark McCormick, North America head of foreign exchange strategy at TD Securities.","""I would expect the recent correction in equity prices to show a little bit more bid (in gold), but at the moment it doesn't seem to be the case,"" said Daniel Ghali, commodities strategist at TD Securities in Toronto",2,4,5,0
"""It shows how sensitive the markets are around the discussion on U.S. dollar and trade in general,"" said Mark McCormick, North America head of foreign exchange strategy at TD Securities.","On a technical level, people have been watching it for a long time. Yields have been trending lower for multiple decades really, so some have argued in the marketplace that we are right up on the cusp of a regime shift,"" said TD Securities commodities strategist Daniel Ghali.",2,4,5,2
"""It shows how sensitive the markets are around the discussion on U.S. dollar and trade in general,"" said Mark McCormick, North America head of foreign exchange strategy at TD Securities.","The dollar dipped briefly, then rose as investors reckoned the data would not deter U.S. Federal Reserve from raising interest rates multiple times this year though at a gradual pace.",0,0,0,1
"Though rising long-term interest rates and recent equity market volatility have tightened financial conditions, Powell said, ""we do not see these developments as weighing heavily on the outlook for economic activity, the labor market and inflation.""","""For the moment it looks like gold appears intent on challenging the 2017 highs around $1,357,"" said Daniel Ghali, commodities strategist at TD Securities in Toronto",2,3,5,0
"Though rising long-term interest rates and recent equity market volatility have tightened financial conditions, Powell said, ""we do not see these developments as weighing heavily on the outlook for economic activity, the labor market and inflation.""","""It's not good or bad. It's a surprise and markets aren't priced for it. There's this pivot away from the U.S. dollar bull market. Part of it is driven by global reflation and part of it is driven by Trump, "" said Mark McCormick, North American head of foreign exchange strategy at TD Securities.",1,3,5,1
